caseID,result,start_Zone,end_Zone,opponent
756045,Incomplete,1,2,Spain
756046,Saved,2,3,Spain
756048,Incomplete,1,2,Spain
756051,Incomplete,1,2,Spain
756055,Incomplete,1,2,Spain
756062,Incomplete,1,2,Spain
756063,Incomplete,2,2,Spain
756067,Incomplete,2,3,Spain
756071,Incomplete,1,2,Spain
756073,Off T,1,3,Spain
756075,Incomplete,3,3,Spain
756077,Incomplete,2,3,Spain
756078,Incomplete,3,3,Spain
756080,Incomplete,2,2,Spain
756082,Incomplete,1,2,Spain
756083,Incomplete,2,2,Spain
756084,Off T,1,3,Spain
756086,Incomplete,2,3,Spain
756088,Incomplete,2,3,Spain
756090,Incomplete,1,2,Spain
756092,Incomplete,1,3,Spain
756094,Incomplete,1,2,Spain
756097,Incomplete,1,2,Spain
756099,Incomplete,1,2,Spain
7560102,Incomplete,1,3,Spain
7560104,Incomplete,2,2,Spain
7560106,Incomplete,1,3,Spain
7560112,Incomplete,1,2,Spain
7560114,Incomplete,1,1,Spain
7560115,Incomplete,1,2,Spain
7560117,Incomplete,1,2,Spain
7560121,Pass Offside,2,3,Spain
7560123,Incomplete,1,3,Spain
7560127,Incomplete,1,None,Spain
7560129,Incomplete,1,3,Spain
7560132,Incomplete,1,2,Spain
7560133,Incomplete,3,2,Spain
7560136,Incomplete,1,3,Spain
7560138,Incomplete,2,2,Spain
7560139,Blocked,3,3,Spain
7560140,Goal,3,3,Spain
7560142,Incomplete,1,2,Spain
7560148,Incomplete,2,2,Spain
7560150,Out,1,3,Spain
7560154,Incomplete,2,2,Spain
7560157,Incomplete,2,1,Spain
7560158,Incomplete,2,3,Spain
7560160,Out,2,3,Spain
7560163,Incomplete,1,2,Spain
